name,sentence_id,new_name,,,,
Billina,936,Billina,,,,
Dorothy,936,Dorothy the Lamb,,,,
Billina,937,Billina,,,,
Bill,939,Billina,,,,
Bill,940,Billina,,,,
Billina,940,Billina,,,,
Dorothy,940,Dorothy the Lamb,,,,
Billina,941,Billina,,,,
Ozma,941,Royal Ozma,,,,
Dorothy,942,Dorothy the Lamb,,,,
Billina,943,Billina,,,,
Billina,946,Billina,,,,
Dorothy,949,Dorothy the Lamb,,,,
Billina,950,Billina,,,,
Billina,953,Billina,,,,
Billina,956,Billina,,,,
Dorothy,956,Dorothy the Lamb,,,,
Dorothy,959,Dorothy the Lamb,,,,
Lion,959,Cowardly Lion,,,,
Tiger,961,Hungry Tiger,,,,
Billina,961,Billina,,,,
Dorothy,966,Dorothy the Lamb,,,,
Tiger,967,Hungry Tiger,,,,
Billina,967,Billina,,,,
Dorothy,968,Dorothy the Lamb,,,,
Billina,969,Billina,,,,
Dorothy,971,Dorothy the Lamb,,,,
Tiktok,971,Tiktok,,,,
Ozma,971,Royal Ozma,,,,
Scarecrow,971,Scarecrow of Oz,,,,
Tin Woodman,971,Emperor of the Winkies,,,,
Ozma,972,Royal Ozma,,,,
Langwidere,972,Langwidere,,,,
Dorothy,972,Dorothy the Lamb,,,,
Dorothy,973,Dorothy the Lamb,,,,
Tin Woodman,974,Emperor of the Winkies,,,,
Dorothy,978,Dorothy the Lamb,,,,
Ozma,978,Royal Ozma,,,,
Tin Woodman,980,Emperor of the Winkies,,,,
Ozma,981,Royal Ozma,,,,
Ev,981,Evoldo,,,,
Evoldo,981,Evoldo,,,,
Nome King,981,Roquat of the Rocks,,,,
Ev,982,Evoldo,,,,
Ozma,983,Royal Ozma,,,,
Glinda the Good,984,Glinda the Sorceress,,,,
Ozma,984,Royal Ozma,,,,
Nome King,986,Roquat of the Rocks,,,,
Tiktok,987,Tiktok,,,,
Dorothy,990,Dorothy the Lamb,,,,
Ev,992,Evoldo,,,,
Tiktok,992,Tiktok,,,,
Ev,993,Evoldo,,,,
Ozma,994,Royal Ozma,,,,
Evoldo,997,Evoldo,,,,
Langwidere,997,Langwidere,,,,
Nome King,999,Roquat of the Rocks,,,,
Ozma,1000,Royal Ozma,,,,
Nome King,1000,Roquat of the Rocks,,,,
Roquat of the Rocks,1002,Roquat of the Rocks,,,,
Dorothy,1003,Dorothy the Lamb,,,,
Nome King,1003,Roquat of the Rocks,,,,
Ozma,1004,Royal Ozma,,,,
Nome King,1007,Roquat of the Rocks,,,,
Dorothy,1008,Dorothy the Lamb,,,,
Ozma,1009,Royal Ozma,,,,
Roquat,1010,Roquat of the Rocks,,,,
Dorothy,1011,Dorothy the Lamb,,,,
Scarecrow,1012,Scarecrow of Oz,,,,
Tin Woodman,1014,Emperor of the Winkies,,,,
Langwidere,1015,Langwidere,,,,
Ozma,1017,Royal Ozma,,,,
Ozma,1022,Royal Ozma,,,,
Tiktok,1022,Tiktok,,,,
Dor,1023,Dor,,,,
Dorothy,1025,Dorothy the Lamb,,,,
Billina,1027,Billina,,,,
Billina,1027,Billina,,,,
Scarecrow,1029,Scarecrow of Oz,,,,
Ozma,1031,Royal Ozma,,,,
Langwidere,1033,Langwidere,,,,
Oz,1033,Oz,,,,
Cowardly Lion,1035,Cowardly Lion,,,,
Dorothy,1036,Dorothy the Lamb,,,,
Nanda,1036,Nanda,,,,
Hungry Tiger,1036,Hungry Tiger,,,,
Tiger,1040,Hungry Tiger,,,,
Nanda,1041,Nanda,,,,
Dorothy,1042,Dorothy the Lamb,,,,
Tiger,1043,Hungry Tiger,,,,
Dorothy,1047,Dorothy the Lamb,,,,
Hungry Tiger,1048,Hungry Tiger,,,,
Scarecrow,1049,Scarecrow of Oz,,,,
Tin Woodman,1049,Emperor of the Winkies,,,,
Dorothy,1049,Dorothy the Lamb,,,,
Ozma,1050,Royal Ozma,,,,
Ozma,1053,Royal Ozma,,,,
Woggle,1053,Professor H.M. Wogglebug,,,,
Scarecrow,1054,Scarecrow of Oz,,,,
Tin Woodman,1054,Emperor of the Winkies,,,,
Ozma,1054,Royal Ozma,,,,
Oz,1054,Oz,,,,
Cowardly Lion,1055,Cowardly Lion,,,,
Hungry Tiger,1055,Hungry Tiger,,,,
Dorothy,1056,Dorothy the Lamb,,,,
Sawhorse,1056,Sawhorse,,,,
Ozma,1056,Royal Ozma,,,,
Sawhorse,1057,Sawhorse,,,,
Dorothy,1057,Dorothy the Lamb,,,,
Dorothy,1058,Dorothy the Lamb,,,,
Sawhorse,1059,Sawhorse,,,,
Dorothy,1062,Dorothy the Lamb,,,,
Scarecrow,1063,Scarecrow of Oz,,,,
Sawhorse,1064,Sawhorse,,,,
Sawhorse,1068,Sawhorse,,,,
Dorothy,1071,Dorothy the Lamb,,,,
Ozma,1071,Royal Ozma,,,,
Oz,1071,Oz,,,,
Billina,1071,Billina,,,,
Dorothy,1071,Dorothy the Lamb,,,,
Ozma,1073,Royal Ozma,,,,
Dorothy,1073,Dorothy the Lamb,,,,
Scarecrow,1073,Scarecrow of Oz,,,,
Scarecrow,1074,Scarecrow of Oz,,,,
Ozma,1074,Royal Ozma,,,,
Lion,1075,Cowardly Lion,,,,
Tiger,1075,Hungry Tiger,,,,
Billina,1075,Billina,,,,
Lion,1076,Cowardly Lion,,,,
Tiger,1076,Hungry Tiger,,,,
Ozma,1077,Royal Ozma,,,,
Dorothy,1077,Dorothy the Lamb,,,,
Billina,1077,Billina,,,,
Scarecrow,1078,Scarecrow of Oz,,,,
Sawhorse,1078,Sawhorse,,,,
Tin Woodman,1078,Emperor of the Winkies,,,,
Tiktok,1078,Tiktok,,,,
Billina,1083,Billina,,,,
Ozma,1084,Royal Ozma,,,,
Scarecrow,1084,Scarecrow of Oz,,,,
Sawhorse,1084,Sawhorse,,,,
Dorothy,1085,Dorothy the Lamb,,,,
Tin Woodman,1086,Emperor of the Winkies,,,,
Billina,1087,Billina,,,,
Dorothy,1087,Dorothy the Lamb,,,,
Tin Woodman,1091,Emperor of the Winkies,,,,
Billina,1093,Billina,,,,
Tin Woodman,1094,Emperor of the Winkies,,,,
Scarecrow,1095,Scarecrow of Oz,,,,
Dorothy,1097,Dorothy the Lamb,,,,
Billina,1098,Billina,,,,
Scarecrow,1102,Scarecrow of Oz,,,,
Tin Woodman,1103,Emperor of the Winkies,,,,
Dorothy,1103,Dorothy the Lamb,,,,
Billina,1103,Billina,,,,
Scarecrow,1105,Scarecrow of Oz,,,,
Sawhorse,1105,Sawhorse,,,,
Sawhorse,1107,Sawhorse,,,,
Scarecrow,1107,Scarecrow of Oz,,,,
Ozma,1107,Royal Ozma,,,,
Dorothy,1109,Dorothy the Lamb,,,,
Scarecrow,1114,Scarecrow of Oz,,,,
Tin Woodman,1115,Emperor of the Winkies,,,,
Dorothy,1117,Dorothy the Lamb,,,,
Nome King,1119,Roquat of the Rocks,,,,
Ozma,1121,Royal Ozma,,,,
Scarecrow,1124,Scarecrow of Oz,,,,
Ozma,1126,Royal Ozma,,,,
Cowardly Lion,1133,Cowardly Lion,,,,
Tiktok,1136,Tiktok,,,,
Smith & Tin,1137,Smith & Tin,,,,
Ozma,1138,Royal Ozma,,,,
Scarecrow,1141,Scarecrow of Oz,,,,
Nome King,1144,Roquat of the Rocks,,,,
Tiktok,1144,Tiktok,,,,
Dorothy,1145,Dorothy the Lamb,,,,
Scarecrow,1146,Scarecrow of Oz,,,,
Scarecrow,1149,Scarecrow of Oz,,,,
Tin Woodman,1152,Emperor of the Winkies,,,,
Cowardly Lion,1156,Cowardly Lion,,,,
Ozma,1158,Royal Ozma,,,,
Scarecrow,1160,Scarecrow of Oz,,,,
Ozma,1162,Royal Ozma,,,,
Lion,1162,Cowardly Lion,,,,
Dorothy,1163,Dorothy the Lamb,,,,
Ozma,1165,Royal Ozma,,,,
Lion,1166,Cowardly Lion,,,,
Ozma,1166,Royal Ozma,,,,
Dorothy,1168,Dorothy the Lamb,,,,
Dorothy,1169,Dorothy the Lamb,,,,
Ozma,1169,Royal Ozma,,,,
Sawhorse,1170,Sawhorse,,,,
Tiktok,1171,Tiktok,,,,
Tin Woodman,1172,Emperor of the Winkies,,,,
Scarecrow,1177,Scarecrow of Oz,,,,
Cowardly Lion,1180,Cowardly Lion,,,,
Tiger,1180,Hungry Tiger,,,,
Ozma,1182,Royal Ozma,,,,
Dorothy,1182,Dorothy the Lamb,,,,
Lion,1182,Cowardly Lion,,,,
Tiger,1182,Hungry Tiger,,,,
Ozma,1185,Royal Ozma,,,,
Lion,1186,Cowardly Lion,,,,
Tiger,1189,Hungry Tiger,,,,
Scarecrow,1189,Scarecrow of Oz,,,,
Scarecrow,1192,Scarecrow of Oz,,,,
Sawhorse,1192,Sawhorse,,,,
Sawhorse,1193,Sawhorse,,,,
Billina,1195,Billina,,,,
Scarecrow,1196,Scarecrow of Oz,,,,
Scarecrow,1197,Scarecrow of Oz,,,,
Scarecrow,1198,Scarecrow of Oz,,,,
Tin Woodman,1199,Emperor of the Winkies,,,,
Sawhorse,1199,Sawhorse,,,,
Ozma,1202,Royal Ozma,,,,
Dorothy,1202,Dorothy the Lamb,,,,
Sawhorse,1202,Sawhorse,,,,
Scarecrow,1202,Scarecrow of Oz,,,,
Ozma,1209,Royal Ozma,,,,
Tiktok,1214,Tiktok,,,,
Dorothy,1214,Dorothy the Lamb,,,,
Nomes,1216,Nomes,,,,
Nome King,1217,Roquat of the Rocks,,,,
Dorothy,1220,Dorothy the Lamb,,,,
Ozma,1220,Royal Ozma,,,,
Nomes,1221,Nomes,,,,
Tin Woodman,1223,Emperor of the Winkies,,,,
Tin Woodman,1226,Emperor of the Winkies,,,,
Tin Woodman,1230,Emperor of the Winkies,,,,
Tin Woodman,1235,Emperor of the Winkies,,,,
Ozma,1236,Royal Ozma,,,,
Ozma,1238,Royal Ozma,,,,
Ozma,1239,Royal Ozma,,,,
Nome King,1239,Roquat of the Rocks,,,,
Nomes,1240,Nomes,,,,
Tiktok,1241,Tiktok,,,,
Ozma,1242,Royal Ozma,,,,
Nome King,1242,Roquat of the Rocks,,,,
Nomes,1243,Nomes,,,,
Tiktok,1244,Tiktok,,,,
Ozma,1244,Royal Ozma,,,,
Nome King,1245,Roquat of the Rocks,,,,
Ozma,1245,Royal Ozma,,,,
Nome King,1246,Roquat of the Rocks,,,,
Scarecrow,1249,Scarecrow of Oz,,,,
