name,sentence_id,title,first,middle,last,suffix,nickname,gender
Eureka,1383,none,Eureka,none,none,none,none,female
Gargoyles,1384,none,Gargoyles,none,none,none,none,male
Zeb,1386,none,Zeb,none,none,none,none,male
Dorothy,1388,none,Dorothy,none,none,none,none,female
Wizard,1390,none,Wizard,none,none,none,none,male
Zeb,1390,none,Zeb,none,none,none,none,male
Eureka,1391,none,Eureka,none,none,none,none,female
Wizard,1394,none,Wizard,none,none,none,none,male
Zeb,1395,none,Zeb,none,none,none,none,male
Eureka,1396,none,Eureka,none,none,none,none,female
Jim,1398,none,Jim,none,none,none,none,male
Wizard,1399,none,Wizard,none,none,none,none,male
Gargoyle,1400,none,Gargoyle,none,none,none,none,male
Wizard,1401,none,Wizard,none,none,none,none,male
Jim,1401,none,Jim,none,none,none,none,male
Wizard,1403,none,Wizard,none,none,none,none,male
Dorothy,1406,none,Dorothy,none,none,none,none,female
Eureka,1406,none,Eureka,none,none,none,none,female
Zeb,1407,none,Zeb,none,none,none,none,male
Wizard,1407,none,Wizard,none,none,none,none,male
Jim,1408,none,Jim,none,none,none,none,male
Wizard,1409,none,Wizard,none,none,none,none,male
Zeb,1411,none,Zeb,none,none,none,none,male
Jim,1412,none,Jim,none,none,none,none,male
Dorothy,1414,none,Dorothy,none,none,none,none,female
Jim,1414,none,Jim,none,none,none,none,male
Wizard,1415,none,Wizard,none,none,none,none,male
Gargoyles,1418,none,Gargoyles,none,none,none,none,male
Dorothy,1418,none,Dorothy,none,none,none,none,female
Jim,1420,none,Jim,none,none,none,none,male
Dorothy,1421,none,Dorothy,none,none,none,none,female
Wizard,1422,none,Wizard,none,none,none,none,male
Wizard,1424,none,Wizard,none,none,none,none,male
Gargoyles,1426,none,Gargoyles,none,none,none,none,male
Zeb,1428,none,Zeb,none,none,none,none,male
Wizard,1428,none,Wizard,none,none,none,none,male
Gargoyles,1430,none,Gargoyles,none,none,none,none,male
Zeb,1436,none,Zeb,none,none,none,none,male
Wizard,1436,none,Wizard,none,none,none,none,male
Dorothy,1440,none,Dorothy,none,none,none,none,female
Gargoyles,1441,none,Gargoyles,none,none,none,none,male
Wizard,1441,none,Wizard,none,none,none,none,male
Jim,1444,none,Jim,none,none,none,none,male
Dorothy,1445,none,Dorothy,none,none,none,none,female
Zeb,1445,none,Zeb,none,none,none,none,male
Wizard,1445,none,Wizard,none,none,none,none,male
Wizard,1450,none,Wizard,none,none,none,none,male
Eureka,1452,none,Eureka,none,none,none,none,female
Eureka,1453,none,Eureka,none,none,none,none,female
Dorothy,1453,none,Dorothy,none,none,none,none,female
Dorothy,1461,none,Dorothy,none,none,none,none,female
Wizard,1465,none,Wizard,none,none,none,none,male
