sentence_index,agent,,,,,
391,another day of such walking on bunions,,,,,
392,they,,,,,
392,I,,,,,
394,The Orks,,,,,
394,the sailor - man,,,,,
395,the creature,,,,,
395,your,,,,,
395,your,,,,,
397,No one,,,,,
397,I,,,,,
397,you,,,,,
398,the Ork,,,,,
399,you,,,,,
399,you,,,,,
399,you,,,,,
400,Bill Weedles,,,,,
400,the Ork,,,,,
401,Trot,,,,,
401,Trot,,,,,
401,Cap'n Billina,,,,,
401,Cap'n Billina,,,,,
403,Billina,,,,,
403,the Orks,,,,,
403,Bill Weedles,,,,,
403,Bill Weedles,,,,,
403,Bill Weedles,,,,,
404,Bill Weedles,,,,,
404,the Orks,,,,,
404,the Orks,,,,,
405,Bill Weedles,,,,,
406,Cap'n Billina,,,,,
406,Cap'n Billina,,,,,
406,Cap'n Billina,,,,,
410,Billina,,,,,
411,the Orks,,,,,
412,this tunnel,,,,,
412,we,,,,,
414,Trot,,,,,
414,by Trot 's long sleep,,,,,
415,we,,,,,
415,Trot,,,,,
416,They,,,,,
416,They,,,,,
416,the Orks,,,,,
416,the Orks,,,,,
417,The others,,,,,
417,"The others , who were following a short distance behind",,,,,
418,Bill Weedles,,,,,
420,Bill Weedles,,,,,
421,Bill Weedles,,,,,
421,the creature,,,,,
421,we,,,,,
421,we,,,,,
421,we,,,,,
423,A wall of rock,,,,,
423,The sailor - man and Trot,,,,,
423,the tunnel,,,,,
424,The sailor - man and Trot,,,,,
424,The sailor - man and Trot,,,,,
425,The sailor - man and Trot,,,,,
426,We,,,,,
428,We,,,,,
428,We,,,,,
428,We,,,,,
430,We,,,,,
431,the Orks,,,,,
431,the Orks,,,,,
431,the Orks,,,,,
431,the Orks,,,,,
432,the Orks,,,,,
433,the Orks,,,,,
433,the little girl,,,,,
433,Bill Weedles,,,,,
433,Bill Weedles,,,,,
433,the Orks,,,,,
434,the Orks,,,,,
434,the Orks,,,,,
435,my mechanical propeller tail,,,,,
435,my,,,,,
435,my will,,,,,
436,Trot,,,,,
436,my,,,,,
437,I,,,,,
437,I,,,,,
437,my,,,,,
437,somebody,,,,,
438,my,,,,,
438,my,,,,,
438,one,,,,,
439,my,,,,,
440,Bill Weedles,,,,,
441,the Orks,,,,,
443,I,,,,,
443,Bill Weedles,,,,,
445,I,,,,,
445,you,,,,,
445,you,,,,,
445,I,,,,,
447,Billina,,,,,
447,you,,,,,
447,you,,,,,
448,you,,,,,
448,I,,,,,
448,you,,,,,
449,I,,,,,
450,Trot,,,,,
450,the creature 's legs,,,,,
450,Bill Weedles,,,,,
450,Bill Weedles,,,,,
451,Trot,,,,,
451,Trot,,,,,
452,the creature,,,,,
452,the creature,,,,,
453,the creature 's,,,,,
454,the creature 's,,,,,
454,the tail,,,,,
455,Trot,,,,,
457,Billina,,,,,
457,a shock,,,,,
457,him,,,,,
458,him,,,,,
460,Trot,,,,,
461,I,,,,,
461,the Orks,,,,,
461,the Orks,,,,,
464,Trot,,,,,
464,Trot,,,,,
464,the Orks,,,,,
465,us,,,,,
466,I,,,,,
468,a forest,,,,,
469,I,,,,,
471,I,,,,,
472,I.,,,,,
472,the Orks,,,,,
474,us,,,,,
474,us,,,,,
476,she,,,,,
477,she,,,,,
477,us,,,,,
477,us,,,,,
477,Bill Weedles,,,,,
479,the explorers,,,,,
479,Cap'n Billina,,,,,
479,Cap'n Billina,,,,,
479,Cap'n Billina,,,,,
479,Cap'n Billina,,,,,
481,Trot,,,,,
481,Trot,,,,,
481,what,,,,,
481,Cap'n Billina,,,,,
482,Cap'n Billina,,,,,
483,Cap'n Billina,,,,,
483,Cap'n Billina,,,,,
484,the melon,,,,,
484,Cap'n Billina,,,,,
485,Billina,,,,,
485,Trot,,,,,
487,Billina,,,,,
487,Billina,,,,,
488,The creature,,,,,
488,The creature,,,,,
488,The creature,,,,,
489,they,,,,,
489,Trot,,,,,
490,Bill Weedles,,,,,
491,they,,,,,
492,they,,,,,
495,Billina and Trot,,,,,
495,Billina and Trot,,,,,
495,Billina and Trot,,,,,
495,them 's feet,,,,,
495,the creature,,,,,
495,the creature,,,,,
495,the creature,,,,,
495,the creature,,,,,
496,them,,,,,
496,them,,,,,
497,Trot,,,,,
498,Bill Weedles,,,,,
498,Bill Weedles,,,,,
498,Bill Weedles,,,,,
499,Bill Weedles,,,,,
499,Bill Weedles,,,,,
499,we,,,,,
500,at this suggestion,,,,,
501,The little girl,,,,,
501,The little girl,,,,,
501,The little girl,,,,,
502,The little girl,,,,,
503,Bill Weedles,,,,,
503,Bill Weedles,,,,,
505,Bill Weedles,,,,,
506,us,,,,,
507,A few steps,,,,,
507,she,,,,,
508,The front,,,,,
508,our friends,,,,,
508,"a little man , with a long pointed beard",,,,,
509,"a little man , with a long pointed beard",,,,,
510,our friends,,,,,
510,our friends,,,,,
511,Bill Weedles,,,,,
512,"a little man , with a long pointed beard",,,,,
513,I,,,,,
514,you,,,,,
514,with such a crowd as you,,,,,
515,Trot,,,,,
515,they,,,,,
516,I,,,,,
518,my,,,,,
518,my,,,,,
519,you,,,,,
519,you,,,,,
519,Trot,,,,,
519,Trot,,,,,
519,Trot,,,,,
520,you,,,,,
521,Bill Weedles,,,,,
521,Bill Weedles,,,,,
523,you,,,,,
523,the little man,,,,,
525,the little man,,,,,
526,Every breeze,,,,,
527,you,,,,,
528,Trot,,,,,
529,Trot,,,,,
530,him,,,,,
533,you,,,,,
533,the little girl,,,,,
534,you,,,,,
535,you,,,,,
535,you,,,,,
537,he,,,,,
538,Bill Weedles,,,,,
539,Someone,,,,,
540,Bill Weedles,,,,,
541,the earth,,,,,
541,Bill Weedles,,,,,
541,Bill Weedles,,,,,
542,Everything,,,,,
542,the man,,,,,
544,I,,,,,
544,I.,,,,,
547,Pessim,,,,,
547,voice,,,,,
548,Bill Weedles,,,,,
