sentence_index,agent,
395,We,
395,We,
395,the Tin Woodman,
395,the Tin Woodman,
396,the Wanderer,
396,Woot the Wanderer,
396,the Loons,
396,the Loons,
397,I,
397,the Loons,
397,I,
397,I,
397,I,
398,We,
398,We,
399,they,
399,they,
399,they,
400,they,
400,nothing,
400,they,
400,they,
401,"an enormous castle , built of purple stone",
402,they,
404,the Scarecrow,
405,the Scarecrow,
406,the Scarecrow,
407,me,
407,me,
408,no one,
408,no one,
409,we,
409,we,
409,anybody,
409,Woot the Wanderer,
410,nobody,
411,we,
411,we,
412,we,
413,friendly people,
413,Woot the Wanderer,
414,enemies,
414,I,
414,I,
415,the Scarecrow Bear,
415,we,
415,we,
415,we,
416,the Scarecrow Bear,
416,the Scarecrow Bear,
416,the Scarecrow Bear,
416,the Scarecrow Bear,
416,he,
417,the Scarecrow Bear,
417,the Scarecrow Bear,
418,the Scarecrow Bear,
419,we,
420,the Tin Emperor,
420,the Tin Emperor,
420,the Tin Emperor,
422,none of we,
423,we,
423,Woot the Wanderer,
423,Woot the Wanderer,
423,Woot the Wanderer,
423,Woot the Wanderer,
424,Woot the Wanderer,
424,Woot the Wanderer,
425,the door 's great hinges,
425,Woot the Wanderer,
426,the three,
426,slam,
426,no one,
429,the Scarecrow Bear,
429,the three,
430,the three,
430,the three,
430,the three,
430,what danger,
432,them,
433,them,
434,them,
435,them,
436,She,
437,She,
438,The table at which She sat,
438,the travelers,
438,the travelers,
438,She,
439,She,
439,She,
439,She,
439,She,
439,She,
440,the travelers,
441,the travelers,
441,She,
442,I,
442,I,
444,you foolish strangers,
444,you foolish strangers,
444,I,
444,I,
444,I,
444,I,
445,Woot the Wanderer,
445,you foolish strangers,
446,the Giantess,
446,you,
447,you,
447,anyone,
447,the Scarecrow Bear,
447,you,
447,you,
447,you 's boy friend,
447,you,
447,you,
448,you,
448,the Giantess,
448,the Giantess,
448,the Giantess,
449,you,
449,you,
449,you,
449,you,
450,the Giantess,
450,the Giantess,
450,the Giantess,
450,a way,
451,You,
451,Mr. Yoop 's wife,
451,Mr. Yoop 's wife,
452,Who,
452,You,
454,People,
454,Mr. Yoop 's,
454,People,
454,People who selfishly objected to Yoop 's,
455,I,
455,Yoop,
455,Yoop,
456,the little folks,
456,the little folks,
457,I,
457,I,
457,I,
457,a giant,
458,Yoop,
460,the people,
460,Woot the Wanderer,
461,you,
461,you,
461,a sudden laugh,
461,the wobbly Scarecrow Bear,
462,you,
462,you,
462,you,
462,the people,
462,you,
462,you,
463,the people,
463,the people,
463,husband,
463,you,
463,you,
464,Woot the Wanderer,
465,she,
466,you,
467,you,
467,this statement,
468,she,
468,she,
469,the Scarecrow Bear,
469,the Scarecrow Bear,
469,whose mixed brains,
469,"the Scarecrow Bear , whose mixed brains had been working steadily",
469,you,
469,she,
470,she,
470,she,
470,friends,
470,friends,
473,I,
473,I,
474,I,
474,I,
474,the Tin Woodman,
476,the Giantess,
477,She,
478,The sun,
478,the Giantess,
478,the Giantess,
480,the Giantess,
480,She,
480,She,
480,we,
481,her,
481,her,
482,"Woot the Wanderer , who had heard tales of her and was much interested in her",
482,the Wanderer,
483,her,
483,her,
485,by her,
485,by her,
486,the Scarecrow Bear,
486,the Scarecrow Bear,
487,Mrs. Yoop 's,
488,the Tin Woodman,
489,Mrs. Yoop 's,
490,Mrs. Yoop 's,
491,I,
491,I,
492,I,
493,you,
493,the Scarecrow Bear,
493,a way,
493,I,
493,the Tin Woodman,
493,I,
494,the Scarecrow Bear,
494,I,
494,the Scarecrow Bear,
495,the Scarecrow Bear,
495,you,
495,who,
496,she,
497,them,
497,she,
497,she,
498,This threat,
499,you all,
500,she,
500,she,
501,Both the Scarecrow Bear and the Tin Woodman,
501,Both the Scarecrow Bear and the Tin Woodman,
501,Both the Scarecrow Bear and the Tin Woodman,
501,she,
501,she,
502,she,
503,Both the Scarecrow Bear and the Tin Woodman,
504,Both the Scarecrow Bear and the Tin Woodman,
504,Both the Scarecrow Bear and the Tin Woodman,
505,she,
505,Both the Scarecrow Bear and the Tin Woodman,
506,discontent,
506,the greatest evil,
507,you,
507,you,
507,Woot the Wanderer,
508,you,
509,you,
509,you,
510,your,
510,your,
511,Woot the Wanderer,
511,the Wanderer,
512,she,
514,she,
515,she,
515,she,
515,she,
515,she,
516,The Scarecrow Bear,
517,The Scarecrow Bear,
517,her,
517,her,
518,The Scarecrow Bear,
518,her,
518,her,
519,her,
521,I,
521,I,
521,I,
521,I,
521,I,
523,I,
523,I,
523,I,
523,I,
523,I,
523,I,
523,I,
523,I,
523,I,
523,I,
523,I,
525,you,
525,you,
526,I.,
526,I,
526,II,
526,I,
526,I,
527,the Giantess,
527,the Giantess,
527,the Giantess,
529,I,
529,the Scarecrow Bear and I,
530,She,
530,She,
531,She,
531,any witch,
532,She,
532,She,
532,She,
533,her prisoners,
534,She,
534,She,
537,she,
537,they,
537,they,
538,she,
538,they,
539,the Tin Woodman,
539,the Tin Woodman,
539,the Tin Woodman,
539,the Tin Woodman,
540,The story,
540,the big woman,
540,who,
541,Woot the Wanderer,
542,The Giantess,
542,the boy,
542,The Giantess,
542,The Giantess,
542,The Giantess,
543,wicked people,
543,who,
543,wicked people,
543,wicked people,
543,who,
543,they,
543,"my giant husband , Mr. Yoop",
543,The Giantess,
543,The Giantess,
544,Royal Royal Ozma,
544,The Giantess,
544,Royal Royal Ozma,
544,the Scarecrow Bear,
544,no persons in the Land of Oz,
544,Glinda the Sorceress and the little Wizard of Oz,
545,The Giantess,
545,The Giantess,
546,The Giantess,
546,a girl,
547,the Tin Woodman,
548,to injure we in any way,
549,Royal Ozma,
549,to you 's,
549,Royal Ozma,
551,Royal Ozma,
551,you,
553,Mrs. Yoop,
553,Mrs. Yoop,
555,Mrs. Yoop,
555,the three prisoners,
556,The Tin Woodman and the Scarecrow Bear,
557,Woot the Woot the Wanderer,
557,any danger,
558,The big woman,
558,me,
558,me,
558,me,
559,me,
559,me,
559,me,
560,me,
561,his companions,
561,his companions,
561,his companions,
561,his companions,
561,some hidden spring,
561,some hidden spring,
561,some hidden spring,
561,his companions,
562,Morning,
562,a thump,
563,the Giantess,
563,the Giantess,
564,the Giantess,
564,the Giantess,
564,the Giantess,
565,the Giantess,
567,the Giantess,
567,the Giantess,
567,the Giantess,
568,you,
569,she,
570,you,
570,you,
571,she,
571,she,
572,you,
573,Woot the Wanderer,
573,Woot the Wanderer,
573,Woot the Wanderer,
574,Mrs. Yoop,
574,Mrs. Yoop,
575,Mrs. Yoop,
575,Mrs. Yoop,
576,Mrs. Yoop,
576,Mrs. Yoop,
576,Mrs. Yoop,
577,Which,
577,the Wanderer,
578,I,
578,I.,
579,you,
579,you,
580,you,
580,I,
580,I,
580,the food in my knapsack,
580,you,
581,you,
582,I,
582,I,
582,I,
582,I,
582,I,
582,which,
583,I,
583,you three people,
583,I,
584,Woot the Wanderer,
585,I,
585,I,
585,I,
585,I,
585,I,
585,I,
586,not one of your friends,
587,they,
588,Her 's words,
588,Her,
588,no pleadings,
589,Her,
589,Her,
589,they,
589,Her,
589,Her,
589,Her,
590,Her,
591,Her,
591,Her,
591,the Scarecrow Bear,
592,I,
593,This Tin Woodman,
593,I,
594,I,
