sentence_index,agent,,,,,
224,Private Files,,,,,
225,Private Files,,,,,
225,Private Files,,,,,
226,by our desire to continue our 's journey,,,,,
227,Private Files,,,,,
228,I,,,,,
228,I,,,,,
229,I,,,,,
229,you,,,,,
231,I,,,,,
233,Having,,,,,
233,you,,,,,
233,me,,,,,
233,me,,,,,
233,me,,,,,
234,you,,,,,
234,you,,,,,
235,you,,,,,
235,you,,,,,
235,you,,,,,
235,by a Rak,,,,,
236,me,,,,,
237,you,,,,,
237,me,,,,,
238,Jo Files,,,,,
238,Jo Files,,,,,
238,Jo Files,,,,,
238,Rak,,,,,
239,They,,,,,
239,They,,,,,
239,They,,,,,
240,They,,,,,
240,They,,,,,
240,They,,,,,
240,Rak,,,,,
241,the sixteen officers,,,,,
241,the sixteen officers,,,,,
242,the sixteen officers,,,,,
242,the sixteen officers,,,,,
243,Queen Ann Soforth,,,,,
243,Queen Ann Soforth,,,,,
244,General Clock,,,,,
244,them,,,,,
244,by the Rak,,,,,
244,Jo Files,,,,,
245,them,,,,,
246,Queen Ann Soforth,,,,,
246,them,,,,,
247,Each officer,,,,,
248,the owner,,,,,
248,the owner,,,,,
249,Jo Files,,,,,
252,a flag,,,,,
252,a flag,,,,,
252,a flag,,,,,
252,by Queen AnnOogaboo,,,,,
253,no one but themselves,,,,,
253,Ann Soforth,,,,,
253,Ann Soforth,,,,,
256,Betsy,,,,,
256,the shock,,,,,
257,the shock,,,,,
257,the shock,,,,,
257,mule,,,,,
258,Betsy Bobbin,,,,,
258,the wet plunge,,,,,
258,Betsy Bobbin,,,,,
258,Betsy Bobbin,,,,,
259,Betsy Bobbin,,,,,
259,Betsy Bobbin,,,,,
259,Betsy Bobbin,,,,,
259,Betsy Bobbin,,,,,
260,by a vivid glare,,,,,
261,"The ship , now",,,,,
262,Betsy Bobbin 's eye,,,,,
262,Betsy Bobbin,,,,,
262,Betsy Bobbin,,,,,
262,Betsy Bobbin,,,,,
262,Betsy Bobbin,,,,,
263,Hank,,,,,
263,Hank,,,,,
263,Hank,,,,,
263,Betsy Bobbin,,,,,
264,They,,,,,
264,only a hatch - cover torn from the ship 's deck,,,,,
265,They the mule 's,,,,,
265,only a,,,,,
265,only a hatch - cover torn from the ship 's deck,,,,,
267,bolts,,,,,
268,The waves,,,,,
268,a child,,,,,
268,Betsy Bobbin,,,,,
268,thing,,,,,
269,the small donkey,,,,,
269,the small donkey,,,,,
269,the small donkey,,,,,
271,the small donkey,,,,,
272,Betsy Bobbin,,,,,
272,the small donkey,,,,,
273,tones,,,,,
274,the days,,,,,
274,Betsy Bobbin,,,,,
274,Betsy Bobbin,,,,,
274,Hank,,,,,
274,Hank,,,,,
275,the storm,,,,,
275,Betsy Bobbin,,,,,
276,Hank,,,,,
277,Hank,,,,,
278,he,,,,,
